Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Month Name,Order Quarter,Shipping Days,Profit Margin
CA-999214,2025-02-13,2025-04-22,Standard Class,CUST-6138,Frank Butler,Home Office,East,Furniture,Chairs,Phased attitude-oriented workforce,4682.19,4,0.49,242.15,2025,2,February,1,68,5.171725196969795
CA-947973,2025-01-05,2025-05-05,Standard Class,CUST-1524,Robin Martinez,Corporate,West,Office Supplies,Binders,Versatile intangible matrices,3906.76,7,0.37,845.27,2025,1,January,1,120,21.636087192456152
CA-431867,2023-09-02,2025-05-07,First Class,CUST-3050,Katherine Rodriguez,Corporate,Central,Technology,Copiers,Balanced web-enabled utilization,3509.53,6,0.39,982.2,2023,9,September,3,613,27.986653483514885
CA-673639,2024-12-08,2025-05-06,Standard Class,CUST-9800,Monica Williams,Consumer,South,Furniture,Tables,Diverse zero-defect monitoring,2670.44,10,0.4,570.83,2024,12,December,4,149,21.375878132442594
CA-129071,2024-06-15,2025-04-23,Same Day,CUST-9684,Ashley James DDS,Home Office,East,Technology,Accessories,Ameliorated scalable Internet solution,2928.51,9,0.22,112.74,2024,6,June,2,312,3.849739287214317
CA-216070,2025-01-21,2025-04-12,Same Day,CUST-9869,Kathleen Allen,Corporate,East,Furniture,Furnishings,Optional background algorithm,840.44,3,0.2,957.64,2025,1,January,1,81,113.94507638855838
CA-758620,2024-07-10,2025-04-25,Standard Class,CUST-7646,Ashley Wilkerson,Consumer,Central,Technology,Accessories,Devolved cohesive Internet solution,1289.46,3,0.35,-3.03,2024,7,July,3,289,-0.23498208552417288
CA-313149,2023-11-25,2025-04-24,Same Day,CUST-6363,Lori Bradford,Consumer,Central,Office Supplies,Labels,Programmable impactful access,2161.67,1,0.41,84.45,2023,11,November,4,516,3.9067017629888006
CA-893613,2025-03-27,2025-05-04,Same Day,CUST-4737,Brenda Newman,Corporate,Central,Office Supplies,Paper,Right-sized hybrid policy,1452.81,10,0.14,382.61,2025,3,March,1,38,26.335859472332928
CA-616111,2024-07-16,2025-04-30,Standard Class,CUST-2965,Anthony Lamb,Consumer,East,Furniture,Chairs,Enhanced systematic installation,4572.12,3,0.01,430.18,2024,7,July,3,288,9.408764424380813
CA-930209,2024-11-13,2025-04-15,Same Day,CUST-2863,Mr. Brad Price,Corporate,East,Technology,Copiers,Automated uniform info-mediaries,2518.96,8,0.25,515.5,2024,11,November,4,153,20.464794994759743
CA-522549,2024-07-21,2025-04-24,First Class,CUST-4773,Valerie Ellis,Home Office,Central,Office Supplies,Art,Digitized directional Local Area Network,1235.87,10,0.4,183.41,2024,7,July,3,277,14.840557663831957
CA-844927,2023-05-10,2025-04-21,Same Day,CUST-5259,Taylor Jensen,Home Office,East,Office Supplies,Art,Profound executive firmware,379.77,7,0.05,75.01,2023,5,May,2,712,19.751428496195068
CA-419746,2025-03-14,2025-04-11,Second Class,CUST-5622,Jennifer Floyd,Consumer,West,Furniture,Furnishings,Organized reciprocal portal,2706.93,9,0.13,244.28,2025,3,March,1,28,9.024245178116907
CA-651123,2024-05-04,2025-04-29,Same Day,CUST-5600,Jessica Owens,Consumer,West,Technology,Phones,Universal 6thgeneration circuit,228.36,7,0.08,-56.0,2024,5,May,2,360,-24.52268348222105
CA-722089,2024-08-13,2025-04-28,Second Class,CUST-6388,Jimmy Macdonald,Corporate,South,Office Supplies,Labels,Self-enabling static adapter,4569.0,5,0.01,-50.27,2024,8,August,3,258,-1.1002407528999782
CA-583454,2024-02-11,2025-04-12,Standard Class,CUST-2342,Timothy Hayes,Corporate,West,Furniture,Chairs,Optional user-facing model,1761.26,3,0.21,-18.53,2024,2,February,1,426,-1.052087709934933
CA-494199,2023-06-01,2025-05-06,Standard Class,CUST-5349,Laurie Richards DDS,Consumer,South,Office Supplies,Art,Up-sized stable customer loyalty,2735.49,7,0.24,108.25,2023,6,June,2,705,3.957243492025195
CA-191307,2023-07-10,2025-05-07,Second Class,CUST-4475,Rebecca Stewart,Corporate,Central,Technology,Accessories,Integrated upward-trending intranet,3195.43,4,0.46,205.95,2023,7,July,3,667,6.445141968373584
CA-280002,2023-10-08,2025-04-15,Standard Class,CUST-9835,Kelli Hill,Home Office,Central,Office Supplies,Storage,Triple-buffered executive concept,3059.85,7,0.25,363.69,2023,10,October,4,555,11.88587675866464
CA-975721,2024-05-11,2025-04-16,First Class,CUST-2230,Terry Day,Consumer,South,Furniture,Tables,Enhanced optimizing portal,2615.22,3,0.46,405.41,2024,5,May,2,340,15.501946298972937
CA-506300,2023-11-22,2025-04-24,Same Day,CUST-4920,Zachary Jackson,Corporate,South,Furniture,Tables,Business-focused disintermediate projection,1503.32,9,0.25,809.06,2023,11,November,4,519,53.81821568262246
CA-485607,2024-05-26,2025-05-07,Second Class,CUST-2209,Tanner Wood,Consumer,South,Technology,Phones,Profit-focused neutral customer loyalty,944.86,2,0.11,990.26,2024,5,May,2,346,104.80494464788434
CA-143170,2024-10-07,2025-04-26,First Class,CUST-2680,Martha Hill,Home Office,East,Office Supplies,Storage,Organized fault-tolerant system engine,4005.87,4,0.23,687.02,2024,10,October,4,201,17.150331887954426
CA-939132,2023-06-21,2025-04-20,Same Day,CUST-6110,Nichole Foster,Home Office,West,Office Supplies,Art,Business-focused local structure,1524.31,1,0.17,-99.69,2023,6,June,2,669,-6.540008266035125
CA-453305,2023-11-05,2025-04-19,Second Class,CUST-4301,Garrett Lewis,Home Office,West,Technology,Copiers,Fundamental leadingedge adapter,16.52,6,0.24,683.82,2023,11,November,4,531,4139.346246973366
CA-996661,2023-10-16,2025-04-17,Standard Class,CUST-8931,Jessica Jimenez,Home Office,East,Technology,Copiers,Ameliorated next generation intranet,2630.21,8,0.13,780.36,2023,10,October,4,549,29.669113873036757
CA-983053,2024-04-08,2025-05-06,Same Day,CUST-5866,Emily Castillo,Home Office,South,Office Supplies,Art,Upgradable radical synergy,1957.88,5,0.14,385.26,2024,4,April,2,393,19.677406174024963
CA-331546,2024-01-04,2025-04-29,Same Day,CUST-2704,Susan Aguirre,Home Office,South,Furniture,Tables,Networked static core,1262.07,6,0.38,675.12,2024,1,January,1,481,53.49307090731893
CA-751157,2023-05-05,2025-04-12,Standard Class,CUST-1993,Scott Marshall,Consumer,Central,Technology,Copiers,Profound encompassing Internet solution,1861.16,1,0.03,935.25,2023,5,May,2,708,50.25091878183498
CA-753275,2023-10-27,2025-04-15,Second Class,CUST-8240,Bryan Walker,Corporate,West,Furniture,Bookcases,Face-to-face clear-thinking groupware,3691.75,9,0.15,399.19,2023,10,October,4,536,10.813029051262951
CA-700307,2023-07-14,2025-04-16,Same Day,CUST-1189,Nicole Smith,Home Office,West,Furniture,Bookcases,Diverse fresh-thinking hub,4811.4,8,0.21,738.71,2023,7,July,3,642,15.353327513821343
CA-771019,2023-11-05,2025-04-09,Standard Class,CUST-5015,Spencer Gonzalez,Corporate,Central,Office Supplies,Labels,Balanced national budgetary management,4368.84,2,0.47,955.08,2023,11,November,4,521,21.861180542203424
CA-920667,2025-01-28,2025-05-03,First Class,CUST-4293,Teresa Palmer,Consumer,Central,Technology,Phones,Organized clear-thinking contingency,274.19,9,0.47,100.75,2025,1,January,1,95,36.744593165323316
CA-692012,2024-03-15,2025-04-10,First Class,CUST-7611,David Thomas,Consumer,Central,Technology,Accessories,Expanded solution-oriented portal,3804.68,10,0.04,79.15,2024,3,March,1,391,2.080332642955518
CA-682488,2023-07-19,2025-04-10,Same Day,CUST-9697,Edward Olson,Corporate,South,Office Supplies,Binders,Stand-alone eco-centric product,847.48,9,0.27,688.19,2023,7,July,3,631,81.20427620710814
CA-898310,2023-10-01,2025-05-02,Same Day,CUST-4524,Francisco Newman,Consumer,South,Office Supplies,Paper,Reactive radical adapter,433.66,3,0.3,-37.89,2023,10,October,4,579,-8.737259604298298
CA-670658,2025-04-06,2025-04-23,First Class,CUST-3446,Stacey Gibson,Consumer,Central,Office Supplies,Binders,Face-to-face mobile contingency,1604.33,8,0.45,452.4,2025,4,April,2,17,28.19868730248764
CA-499204,2024-02-07,2025-04-24,First Class,CUST-3550,David Taylor,Home Office,South,Technology,Phones,Phased didactic productivity,3531.81,2,0.26,28.24,2024,2,February,1,442,0.7995900119202336
CA-517834,2025-01-06,2025-04-19,Standard Class,CUST-6927,Benjamin Francis,Corporate,East,Office Supplies,Binders,De-engineered systemic middleware,4098.29,4,0.41,-60.5,2025,1,January,1,103,-1.4762254501267602
CA-170330,2023-09-21,2025-04-14,Same Day,CUST-7991,Joshua Shaffer,Corporate,East,Technology,Copiers,Decentralized grid-enabled core,3975.67,9,0.18,318.65,2023,9,September,3,571,8.015001245073156
CA-751585,2023-05-05,2025-04-10,Second Class,CUST-5636,Ryan Barker,Consumer,Central,Technology,Computers,Distributed multimedia encryption,3943.73,9,0.2,563.12,2023,5,May,2,706,14.278867975241713
CA-755148,2024-07-29,2025-04-11,First Class,CUST-6986,Mr. Nathaniel Lane,Home Office,Central,Office Supplies,Art,Proactive well-modulated algorithm,3723.61,1,0.48,544.32,2024,7,July,3,256,14.618072247093547
CA-533214,2023-08-03,2025-04-19,Same Day,CUST-3508,James Miller,Consumer,West,Office Supplies,Labels,Total national orchestration,158.51,1,0.4,557.71,2023,8,August,3,625,351.8453094441992
CA-955012,2024-09-23,2025-04-29,Same Day,CUST-6198,Jonathan Alexander,Corporate,Central,Office Supplies,Art,Organized methodical website,2823.63,1,0.39,540.11,2024,9,September,3,218,19.128214390695664
CA-636606,2023-09-09,2025-04-20,Standard Class,CUST-2732,Michael Waters,Corporate,Central,Technology,Copiers,Triple-buffered multi-tasking frame,93.99,6,0.08,649.59,2023,9,September,3,589,691.1267156080435
CA-206862,2025-02-02,2025-04-15,First Class,CUST-5425,Peter Chandler,Consumer,West,Technology,Machines,Synergistic heuristic solution,2097.96,5,0.13,814.97,2025,2,February,1,72,38.84583118839253
CA-532183,2023-05-13,2025-04-14,Standard Class,CUST-2031,Dr. Danielle Bowman,Consumer,South,Furniture,Chairs,Fundamental disintermediate project,3768.13,7,0.32,238.35,2023,5,May,2,702,6.325418709014816
CA-310081,2023-07-24,2025-04-21,Second Class,CUST-2642,Brandy Nunez,Home Office,West,Office Supplies,Paper,Polarized 24hour toolset,4769.2,5,0.22,603.34,2023,7,July,3,637,12.65075903715508
CA-478618,2023-12-25,2025-05-05,Second Class,CUST-2565,Monica Johnson,Home Office,Central,Technology,Accessories,Quality-focused mission-critical challenge,4660.87,1,0.23,255.75,2023,12,December,4,497,5.487172995599534
CA-686654,2024-01-23,2025-04-25,Same Day,CUST-4919,Julie Sanders,Home Office,West,Office Supplies,Art,Distributed value-added Graphical User Interface,3857.7,7,0.2,796.73,2024,1,January,1,458,20.65297975477616
CA-855292,2023-07-12,2025-04-30,Standard Class,CUST-7648,Craig Scott,Home Office,Central,Furniture,Chairs,Seamless dedicated workforce,3494.78,1,0.21,860.91,2023,7,July,3,658,24.634168674422995
CA-375548,2024-03-14,2025-04-23,First Class,CUST-9612,Brenda Gardner,Consumer,East,Technology,Accessories,Innovative fresh-thinking application,1454.56,1,0.34,474.1,2024,3,March,1,405,32.59404905950941
CA-419641,2023-08-02,2025-04-26,First Class,CUST-9947,David Thompson,Home Office,West,Technology,Computers,Re-contextualized reciprocal challenge,2609.52,8,0.4,-9.63,2023,8,August,3,633,-0.36903338545019776
CA-161969,2023-06-12,2025-04-18,First Class,CUST-9796,Robin Martin,Corporate,West,Technology,Machines,Optional 6thgeneration hierarchy,3796.2,4,0.11,945.41,2023,6,June,2,676,24.904114640956745
CA-325358,2024-12-10,2025-04-18,Second Class,CUST-5429,Nathan Alvarez,Consumer,East,Furniture,Bookcases,Balanced systemic capacity,4250.19,3,0.06,254.39,2024,12,December,4,129,5.985379477152787
CA-160344,2023-06-25,2025-04-10,First Class,CUST-4747,Brian Walker,Consumer,Central,Furniture,Tables,Stand-alone 3rdgeneration intranet,3180.24,10,0.24,836.73,2023,6,June,2,655,26.31027846954947
CA-559621,2025-03-11,2025-05-04,Standard Class,CUST-4209,Jacqueline Harris,Consumer,Central,Furniture,Chairs,De-engineered 3rdgeneration Graphical User Interface,1360.43,4,0.11,299.79,2025,3,March,1,54,22.036414957035642
CA-275434,2024-09-23,2025-04-27,Same Day,CUST-1755,Franklin Villanueva,Consumer,South,Office Supplies,Storage,Devolved asynchronous infrastructure,1987.86,2,0.03,409.4,2024,9,September,3,216,20.595011721147362
CA-677772,2024-12-14,2025-04-17,Standard Class,CUST-9825,Katelyn Simpson,Corporate,Central,Office Supplies,Binders,Enhanced 5thgeneration superstructure,3565.42,5,0.33,353.21,2024,12,December,4,124,9.90654677429307
CA-721019,2024-03-12,2025-05-08,Same Day,CUST-2581,David Sparks,Consumer,South,Technology,Phones,Optional neutral secured line,2215.2,9,0.38,716.69,2024,3,March,1,422,32.353286384976535
CA-643126,2024-12-11,2025-04-14,First Class,CUST-3311,Pamela Ball,Consumer,East,Furniture,Chairs,Streamlined user-facing definition,3947.62,4,0.49,-89.78,2024,12,December,4,124,-2.2742817191117686
CA-747599,2023-10-27,2025-04-30,Standard Class,CUST-8262,Ronald Brown,Corporate,Central,Office Supplies,Paper,Managed impactful budgetary management,3496.66,6,0.42,-99.96,2023,10,October,4,551,-2.85872804333278
CA-532723,2023-06-09,2025-05-01,First Class,CUST-1739,Emily Gonzalez,Consumer,Central,Furniture,Bookcases,Integrated exuding approach,1031.56,3,0.28,168.83,2023,6,June,2,692,16.366474078095315
CA-380423,2024-06-23,2025-05-07,Standard Class,CUST-8775,Katherine Delgado,Corporate,South,Office Supplies,Paper,Fully-configurable interactive productivity,3971.02,6,0.34,-3.42,2024,6,June,2,318,-0.08612396814924125
CA-361103,2024-01-09,2025-05-03,Same Day,CUST-9281,Katrina Meyers,Corporate,Central,Furniture,Chairs,Fully-configurable bi-directional customer loyalty,3206.46,5,0.32,29.56,2024,1,January,1,480,0.9218889367090186
CA-785894,2023-08-24,2025-04-27,Second Class,CUST-3949,Beverly Butler,Corporate,East,Furniture,Tables,Face-to-face object-oriented website,221.18,3,0.37,761.82,2023,8,August,3,612,344.434397323447
CA-247375,2024-10-30,2025-04-10,Standard Class,CUST-2832,Edward Young,Consumer,East,Office Supplies,Art,Cross-group mission-critical strategy,234.14,5,0.02,558.25,2024,10,October,4,162,238.42572819680535
CA-852164,2023-06-30,2025-05-08,Same Day,CUST-5973,Megan Hopkins,Consumer,East,Office Supplies,Storage,User-friendly 5thgeneration functionalities,3531.78,1,0.35,-97.64,2023,6,June,2,678,-2.76461161227483
CA-785588,2023-12-14,2025-04-19,Standard Class,CUST-3968,Tonya Morrison,Consumer,West,Technology,Copiers,Optimized motivating implementation,2396.5,8,0.35,317.95,2023,12,December,4,492,13.267264761109951
CA-750103,2024-10-09,2025-05-05,Standard Class,CUST-3412,Michael Smith,Corporate,West,Furniture,Furnishings,Universal multimedia archive,2574.87,8,0.46,599.47,2024,10,October,4,208,23.281563729431003
CA-985413,2024-07-05,2025-05-01,First Class,CUST-5520,Danny Blair,Consumer,South,Office Supplies,Labels,De-engineered fresh-thinking strategy,4604.07,9,0.01,296.17,2024,7,July,3,300,6.432786643122282
CA-886754,2025-02-14,2025-05-02,First Class,CUST-8157,Francisco Saunders,Corporate,South,Office Supplies,Binders,Down-sized even-keeled complexity,210.16,4,0.25,682.77,2025,2,February,1,77,324.88104301484583
CA-178998,2024-03-02,2025-04-27,Second Class,CUST-5776,Justin Thompson,Consumer,South,Office Supplies,Binders,Object-based clear-thinking firmware,85.96,10,0.38,136.18,2024,3,March,1,421,158.42252210330386
CA-611227,2024-08-25,2025-04-12,First Class,CUST-8181,Mr. John Walker,Corporate,East,Furniture,Chairs,Organized didactic core,4994.6,8,0.17,327.75,2024,8,August,3,230,6.56208705401834
CA-501451,2023-07-16,2025-04-29,First Class,CUST-3025,Alicia Dunn,Corporate,East,Technology,Accessories,Synergized human-resource archive,4385.26,9,0.47,131.26,2023,7,July,3,653,2.993209068561499
CA-292577,2024-12-12,2025-04-26,Same Day,CUST-3744,Kelly Martinez,Corporate,West,Technology,Machines,Stand-alone mobile extranet,4609.34,2,0.15,212.89,2024,12,December,4,135,4.618665579019989
CA-291201,2023-12-12,2025-04-10,First Class,CUST-9756,Curtis Stevens,Consumer,South,Technology,Phones,Customizable multimedia open architecture,3870.28,2,0.24,78.87,2023,12,December,4,485,2.037837055716899
CA-202956,2023-12-10,2025-04-29,Second Class,CUST-5504,Michael Sweeney,Corporate,Central,Furniture,Tables,Extended exuding data-warehouse,627.72,5,0.43,-14.78,2023,12,December,4,506,-2.3545529854075062
CA-811063,2025-04-08,2025-04-26,Second Class,CUST-7490,Thomas Carpenter,Home Office,West,Furniture,Chairs,Horizontal next generation instruction set,4174.52,2,0.19,648.61,2025,4,April,2,18,15.53735519293236
CA-859314,2024-12-25,2025-04-27,First Class,CUST-2199,Alyssa Tyler,Corporate,West,Furniture,Chairs,Persistent actuating ability,447.93,2,0.24,802.92,2024,12,December,4,123,179.25122228919696
CA-435699,2025-02-02,2025-04-17,Same Day,CUST-2974,David Peterson,Corporate,West,Technology,Accessories,Future-proofed contextually-based hub,3617.1,8,0.32,702.3,2025,2,February,1,74,19.41610682591026
CA-882359,2024-04-12,2025-04-14,First Class,CUST-2097,Caleb Cline,Corporate,East,Technology,Copiers,Profound full-range knowledgebase,366.09,7,0.08,-40.72,2024,4,April,2,367,-11.12294790898413
CA-866167,2024-06-11,2025-05-02,First Class,CUST-9732,Wayne Bowen,Home Office,East,Office Supplies,Storage,De-engineered holistic emulation,663.91,8,0.24,553.38,2024,6,June,2,325,83.3516591104216
CA-424086,2023-08-07,2025-05-08,Standard Class,CUST-1265,Scott Hopkins,Consumer,West,Office Supplies,Paper,Customer-focused motivating knowledgebase,1286.09,5,0.33,599.63,2023,8,August,3,640,46.62426424278239
CA-841271,2024-12-21,2025-04-12,Second Class,CUST-1917,Travis Burns,Consumer,Central,Office Supplies,Labels,Multi-tiered holistic instruction set,2575.34,4,0.46,-71.78,2024,12,December,4,112,-2.7872047962599114
CA-232183,2024-03-21,2025-05-06,Same Day,CUST-5815,Catherine Lewis,Consumer,Central,Technology,Phones,Diverse dynamic methodology,4061.48,1,0.45,64.59,2024,3,March,1,411,1.5903069816914033
CA-505088,2023-08-23,2025-05-02,Same Day,CUST-6642,Mr. Matthew Maynard Jr.,Consumer,Central,Furniture,Furnishings,Synergized optimizing budgetary management,4945.8,9,0.13,238.31,2023,8,August,3,618,4.818431800719802
CA-660300,2024-09-29,2025-04-17,Standard Class,CUST-2011,Briana Bean,Home Office,Central,Technology,Copiers,Intuitive executive productivity,2159.81,8,0.19,626.14,2024,9,September,3,200,28.990513054389044
CA-533867,2023-11-18,2025-04-22,Standard Class,CUST-1817,Dean Lewis,Consumer,South,Office Supplies,Binders,Profit-focused value-added complexity,1871.36,8,0.18,677.48,2023,11,November,4,521,36.202547879616965
CA-418531,2023-09-09,2025-05-07,First Class,CUST-3156,Barbara Flores,Consumer,East,Office Supplies,Paper,Automated bifurcated service-desk,91.7,7,0.3,268.46,2023,9,September,3,606,292.7589967284623
CA-235205,2024-08-20,2025-04-24,Second Class,CUST-4675,Ronald Scott,Corporate,Central,Furniture,Tables,Quality-focused 3rdgeneration matrices,4792.47,7,0.15,553.59,2024,8,August,3,247,11.551246017189467
CA-828112,2024-01-11,2025-05-04,First Class,CUST-8014,Brandy Wright,Home Office,South,Furniture,Tables,Multi-layered modular artificial intelligence,3309.19,7,0.06,378.75,2024,1,January,1,479,11.445399025139082
CA-399262,2024-01-26,2025-04-15,First Class,CUST-7506,Dr. Lance Reyes MD,Consumer,East,Technology,Phones,Face-to-face clear-thinking superstructure,3547.81,8,0.12,345.8,2024,1,January,1,445,9.746857920801848
CA-513536,2024-07-14,2025-04-10,Second Class,CUST-1226,Jack Andrade,Corporate,West,Technology,Phones,Synergistic high-level firmware,3158.75,5,0.36,407.48,2024,7,July,3,270,12.900039572615752
CA-223336,2023-09-02,2025-04-16,First Class,CUST-6566,Cynthia Price,Consumer,Central,Furniture,Tables,Managed disintermediate instruction set,943.91,5,0.31,23.47,2023,9,September,3,592,2.486465870686824
CA-854691,2024-04-23,2025-05-06,Standard Class,CUST-1770,Charles King,Consumer,South,Office Supplies,Storage,Reactive fault-tolerant software,4725.68,5,0.37,104.98,2024,4,April,2,378,2.2214792368505694
CA-183590,2024-10-24,2025-04-23,Standard Class,CUST-1982,Janet Lewis,Home Office,Central,Technology,Machines,Distributed context-sensitive utilization,2897.02,10,0.25,996.72,2024,10,October,4,181,34.40500928540362
CA-306185,2025-02-21,2025-05-08,Second Class,CUST-6377,Dawn Bond,Home Office,Central,Furniture,Chairs,Face-to-face asymmetric algorithm,730.24,5,0.06,739.25,2025,2,February,1,76,101.23384092900965
CA-985714,2024-08-24,2025-04-19,Second Class,CUST-2405,Bradley Chavez,Corporate,Central,Office Supplies,Storage,Cross-platform encompassing neural-net,1843.26,5,0.11,263.75,2024,8,August,3,238,14.30888751451233
CA-422665,2023-11-24,2025-04-17,Second Class,CUST-8062,Christopher Fritz,Corporate,East,Furniture,Chairs,Multi-layered disintermediate core,3447.01,7,0.14,-18.39,2023,11,November,4,510,-0.533505849997534
CA-645271,2024-11-16,2025-05-06,Second Class,CUST-8397,James Ballard,Home Office,West,Technology,Machines,Robust global approach,2702.22,1,0.49,244.23,2024,11,November,4,171,9.038124208983724
CA-510050,2024-12-09,2025-04-16,Standard Class,CUST-3969,Jeffrey Coleman,Home Office,East,Furniture,Chairs,Quality-focused interactive orchestration,2143.28,9,0.27,844.44,2024,12,December,4,128,39.39942518009779
CA-233748,2023-06-10,2025-04-10,First Class,CUST-5791,Kenneth Olson,Corporate,East,Furniture,Chairs,Digitized disintermediate info-mediaries,1171.43,3,0.22,895.95,2023,6,June,2,670,76.48344331287402
CA-964406,2023-12-25,2025-04-13,Second Class,CUST-2274,Carl Green,Corporate,South,Technology,Copiers,Object-based zero tolerance interface,1442.32,5,0.06,543.57,2023,12,December,4,475,37.687198402573635
CA-326949,2023-10-16,2025-05-02,Standard Class,CUST-2126,Crystal Brewer,Corporate,West,Office Supplies,Art,Horizontal stable protocol,2792.73,7,0.45,361.3,2023,10,October,4,564,12.937161845219553
CA-548640,2023-04-30,2025-05-04,Second Class,CUST-2638,Christine Hubbard,Consumer,Central,Technology,Copiers,Seamless 6thgeneration data-warehouse,156.88,5,0.27,888.15,2023,4,April,2,735,566.1333503314635
CA-299643,2023-07-03,2025-04-17,Second Class,CUST-5469,Daniel Peterson,Home Office,Central,Technology,Machines,Seamless web-enabled interface,267.79,9,0.3,685.64,2023,7,July,3,654,256.03644646924823
CA-674548,2023-07-12,2025-05-08,Standard Class,CUST-9867,Kimberly Aguilar,Home Office,East,Technology,Machines,Business-focused logistical application,1729.5,7,0.11,-43.29,2023,7,July,3,666,-2.5030355594102343
CA-915933,2024-05-18,2025-05-05,First Class,CUST-6212,Thomas Carr,Corporate,South,Technology,Computers,Networked context-sensitive framework,339.29,5,0.32,34.88,2024,5,May,2,352,10.28029119632173
CA-979446,2023-12-16,2025-05-04,First Class,CUST-7729,Daniel Green,Corporate,East,Furniture,Tables,Multi-tiered bandwidth-monitored methodology,768.33,4,0.13,-82.47,2023,12,December,4,505,-10.733669126547186
CA-582916,2023-07-05,2025-04-09,Same Day,CUST-8759,Allison Hardy,Consumer,Central,Technology,Copiers,Progressive heuristic matrix,3960.69,7,0.38,80.93,2023,7,July,3,644,2.043330833768864
CA-355710,2023-04-09,2025-04-27,Second Class,CUST-6126,Charles Reyes,Corporate,Central,Office Supplies,Binders,Synergistic uniform conglomeration,3384.14,2,0.46,135.03,2023,4,April,2,749,3.9900831525882503
