Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-494199,2023-06-01,2025-05-06,Standard Class,CUST-5349,Laurie Richards DDS,Consumer,South,Office Supplies,Art,Up-sized stable customer loyalty,2735.49,7,0.24,108.25
CA-191307,2023-07-10,2025-05-07,Second Class,CUST-4475,Rebecca Stewart,Corporate,Central,Technology,Accessories,Integrated upward-trending intranet,3195.43,4,0.46,205.95
CA-280002,2023-10-08,2025-04-15,Standard Class,CUST-9835,Kelli Hill,Home Office,Central,Office Supplies,Storage,Triple-buffered executive concept,3059.85,7,0.25,363.69
CA-975721,2024-05-11,2025-04-16,First Class,CUST-2230,Terry Day,Consumer,South,Furniture,Tables,Enhanced optimizing portal,2615.22,3,0.46,405.41
CA-506300,2023-11-22,2025-04-24,Same Day,CUST-4920,Zachary Jackson,Corporate,South,Furniture,Tables,Business-focused disintermediate projection,1503.32,9,0.25,809.06
CA-485607,2024-05-26,2025-05-07,Second Class,CUST-2209,Tanner Wood,Consumer,South,Technology,Phones,Profit-focused neutral customer loyalty,944.86,2,0.11,990.26
CA-143170,2024-10-07,2025-04-26,First Class,CUST-2680,Martha Hill,Home Office,East,Office Supplies,Storage,Organized fault-tolerant system engine,4005.87,4,0.23,687.02
CA-939132,2023-06-21,2025-04-20,Same Day,CUST-6110,Nichole Foster,Home Office,West,Office Supplies,Art,Business-focused local structure,1524.31,1,0.17,-99.69
CA-453305,2023-11-05,2025-04-19,Second Class,CUST-4301,Garrett Lewis,Home Office,West,Technology,Copiers,Fundamental leadingedge adapter,16.52,6,0.24,683.82
CA-996661,2023-10-16,2025-04-17,Standard Class,CUST-8931,Jessica Jimenez,Home Office,East,Technology,Copiers,Ameliorated next generation intranet,2630.21,8,0.13,780.36
CA-983053,2024-04-08,2025-05-06,Same Day,CUST-5866,Emily Castillo,Home Office,South,Office Supplies,Art,Upgradable radical synergy,1957.88,5,0.14,385.26
CA-331546,2024-01-04,2025-04-29,Same Day,CUST-2704,Susan Aguirre,Home Office,South,Furniture,Tables,Networked static core,1262.07,6,0.38,675.12
CA-751157,2023-05-05,2025-04-12,Standard Class,CUST-1993,Scott Marshall,Consumer,Central,Technology,Copiers,Profound encompassing Internet solution,1861.16,1,0.03,935.25
CA-753275,2023-10-27,2025-04-15,Second Class,CUST-8240,Bryan Walker,Corporate,West,Furniture,Bookcases,Face-to-face clear-thinking groupware,3691.75,9,0.15,399.19
CA-700307,2023-07-14,2025-04-16,Same Day,CUST-1189,Nicole Smith,Home Office,West,Furniture,Bookcases,Diverse fresh-thinking hub,4811.4,8,0.21,738.71
CA-771019,2023-11-05,2025-04-09,Standard Class,CUST-5015,Spencer Gonzalez,Corporate,Central,Office Supplies,Labels,Balanced national budgetary management,4368.84,2,0.47,955.08
CA-920667,2025-01-28,2025-05-03,First Class,CUST-4293,Teresa Palmer,Consumer,Central,Technology,Phones,Organized clear-thinking contingency,274.19,9,0.47,100.75
CA-692012,2024-03-15,2025-04-10,First Class,CUST-7611,David Thomas,Consumer,Central,Technology,Accessories,Expanded solution-oriented portal,3804.68,10,0.04,79.15
CA-682488,2023-07-19,2025-04-10,Same Day,CUST-9697,Edward Olson,Corporate,South,Office Supplies,Binders,Stand-alone eco-centric product,847.48,9,0.27,688.19
CA-898310,2023-10-01,2025-05-02,Same Day,CUST-4524,Francisco Newman,Consumer,South,Office Supplies,Paper,Reactive radical adapter,433.66,3,0.3,-37.89
CA-670658,2025-04-06,2025-04-23,First Class,CUST-3446,Stacey Gibson,Consumer,Central,Office Supplies,Binders,Face-to-face mobile contingency,1604.33,8,0.45,452.4
CA-499204,2024-02-07,2025-04-24,First Class,CUST-3550,David Taylor,Home Office,South,Technology,Phones,Phased didactic productivity,3531.81,2,0.26,28.24
CA-517834,2025-01-06,2025-04-19,Standard Class,CUST-6927,Benjamin Francis,Corporate,East,Office Supplies,Binders,De-engineered systemic middleware,4098.29,4,0.41,-60.5
CA-170330,2023-09-21,2025-04-14,Same Day,CUST-7991,Joshua Shaffer,Corporate,East,Technology,Copiers,Decentralized grid-enabled core,3975.67,9,0.18,318.65
CA-751585,2023-05-05,2025-04-10,Second Class,CUST-5636,Ryan Barker,Consumer,Central,Technology,Computers,Distributed multimedia encryption,3943.73,9,0.2,563.12
CA-755148,2024-07-29,2025-04-11,First Class,CUST-6986,Mr. Nathaniel Lane,Home Office,Central,Office Supplies,Art,Proactive well-modulated algorithm,3723.61,1,0.48,544.32
CA-533214,2023-08-03,2025-04-19,Same Day,CUST-3508,James Miller,Consumer,West,Office Supplies,Labels,Total national orchestration,158.51,1,0.4,557.71
CA-955012,2024-09-23,2025-04-29,Same Day,CUST-6198,Jonathan Alexander,Corporate,Central,Office Supplies,Art,Organized methodical website,2823.63,1,0.39,540.11
CA-636606,2023-09-09,2025-04-20,Standard Class,CUST-2732,Michael Waters,Corporate,Central,Technology,Copiers,Triple-buffered multi-tasking frame,93.99,6,0.08,649.59
CA-206862,2025-02-02,2025-04-15,First Class,CUST-5425,Peter Chandler,Consumer,West,Technology,Machines,Synergistic heuristic solution,2097.96,5,0.13,814.97
CA-532183,2023-05-13,2025-04-14,Standard Class,CUST-2031,Dr. Danielle Bowman,Consumer,South,Furniture,Chairs,Fundamental disintermediate project,3768.13,7,0.32,238.35
CA-310081,2023-07-24,2025-04-21,Second Class,CUST-2642,Brandy Nunez,Home Office,West,Office Supplies,Paper,Polarized 24hour toolset,4769.2,5,0.22,603.34
CA-478618,2023-12-25,2025-05-05,Second Class,CUST-2565,Monica Johnson,Home Office,Central,Technology,Accessories,Quality-focused mission-critical challenge,4660.87,1,0.23,255.75
CA-686654,2024-01-23,2025-04-25,Same Day,CUST-4919,Julie Sanders,Home Office,West,Office Supplies,Art,Distributed value-added Graphical User Interface,3857.7,7,0.2,796.73
CA-855292,2023-07-12,2025-04-30,Standard Class,CUST-7648,Craig Scott,Home Office,Central,Furniture,Chairs,Seamless dedicated workforce,3494.78,1,0.21,860.91
CA-375548,2024-03-14,2025-04-23,First Class,CUST-9612,Brenda Gardner,Consumer,East,Technology,Accessories,Innovative fresh-thinking application,1454.56,1,0.34,474.1
CA-419641,2023-08-02,2025-04-26,First Class,CUST-9947,David Thompson,Home Office,West,Technology,Computers,Re-contextualized reciprocal challenge,2609.52,8,0.4,-9.63
CA-161969,2023-06-12,2025-04-18,First Class,CUST-9796,Robin Martin,Corporate,West,Technology,Machines,Optional 6thgeneration hierarchy,3796.2,4,0.11,945.41
CA-325358,2024-12-10,2025-04-18,Second Class,CUST-5429,Nathan Alvarez,Consumer,East,Furniture,Bookcases,Balanced systemic capacity,4250.19,3,0.06,254.39
CA-160344,2023-06-25,2025-04-10,First Class,CUST-4747,Brian Walker,Consumer,Central,Furniture,Tables,Stand-alone 3rdgeneration intranet,3180.24,10,0.24,836.73
CA-559621,2025-03-11,2025-05-04,Standard Class,CUST-4209,Jacqueline Harris,Consumer,Central,Furniture,Chairs,De-engineered 3rdgeneration Graphical User Interface,1360.43,4,0.11,299.79
CA-275434,2024-09-23,2025-04-27,Same Day,CUST-1755,Franklin Villanueva,Consumer,South,Office Supplies,Storage,Devolved asynchronous infrastructure,1987.86,2,0.03,409.4
CA-677772,2024-12-14,2025-04-17,Standard Class,CUST-9825,Katelyn Simpson,Corporate,Central,Office Supplies,Binders,Enhanced 5thgeneration superstructure,3565.42,5,0.33,353.21
CA-721019,2024-03-12,2025-05-08,Same Day,CUST-2581,David Sparks,Consumer,South,Technology,Phones,Optional neutral secured line,2215.2,9,0.38,716.69
CA-643126,2024-12-11,2025-04-14,First Class,CUST-3311,Pamela Ball,Consumer,East,Furniture,Chairs,Streamlined user-facing definition,3947.62,4,0.49,-89.78
CA-747599,2023-10-27,2025-04-30,Standard Class,CUST-8262,Ronald Brown,Corporate,Central,Office Supplies,Paper,Managed impactful budgetary management,3496.66,6,0.42,-99.96
CA-532723,2023-06-09,2025-05-01,First Class,CUST-1739,Emily Gonzalez,Consumer,Central,Furniture,Bookcases,Integrated exuding approach,1031.56,3,0.28,168.83
CA-380423,2024-06-23,2025-05-07,Standard Class,CUST-8775,Katherine Delgado,Corporate,South,Office Supplies,Paper,Fully-configurable interactive productivity,3971.02,6,0.34,-3.42
CA-361103,2024-01-09,2025-05-03,Same Day,CUST-9281,Katrina Meyers,Corporate,Central,Furniture,Chairs,Fully-configurable bi-directional customer loyalty,3206.46,5,0.32,29.56
CA-785894,2023-08-24,2025-04-27,Second Class,CUST-3949,Beverly Butler,Corporate,East,Furniture,Tables,Face-to-face object-oriented website,221.18,3,0.37,761.82
CA-247375,2024-10-30,2025-04-10,Standard Class,CUST-2832,Edward Young,Consumer,East,Office Supplies,Art,Cross-group mission-critical strategy,234.14,5,0.02,558.25
CA-852164,2023-06-30,2025-05-08,Same Day,CUST-5973,Megan Hopkins,Consumer,East,Office Supplies,Storage,User-friendly 5thgeneration functionalities,3531.78,1,0.35,-97.64
CA-785588,2023-12-14,2025-04-19,Standard Class,CUST-3968,Tonya Morrison,Consumer,West,Technology,Copiers,Optimized motivating implementation,2396.5,8,0.35,317.95
CA-750103,2024-10-09,2025-05-05,Standard Class,CUST-3412,Michael Smith,Corporate,West,Furniture,Furnishings,Universal multimedia archive,2574.87,8,0.46,599.47
CA-985413,2024-07-05,2025-05-01,First Class,CUST-5520,Danny Blair,Consumer,South,Office Supplies,Labels,De-engineered fresh-thinking strategy,4604.07,9,0.01,296.17
CA-886754,2025-02-14,2025-05-02,First Class,CUST-8157,Francisco Saunders,Corporate,South,Office Supplies,Binders,Down-sized even-keeled complexity,210.16,4,0.25,682.77
CA-178998,2024-03-02,2025-04-27,Second Class,CUST-5776,Justin Thompson,Consumer,South,Office Supplies,Binders,Object-based clear-thinking firmware,85.96,10,0.38,136.18
CA-611227,2024-08-25,2025-04-12,First Class,CUST-8181,Mr. John Walker,Corporate,East,Furniture,Chairs,Organized didactic core,4994.6,8,0.17,327.75
CA-501451,2023-07-16,2025-04-29,First Class,CUST-3025,Alicia Dunn,Corporate,East,Technology,Accessories,Synergized human-resource archive,4385.26,9,0.47,131.26
CA-292577,2024-12-12,2025-04-26,Same Day,CUST-3744,Kelly Martinez,Corporate,West,Technology,Machines,Stand-alone mobile extranet,4609.34,2,0.15,212.89
CA-291201,2023-12-12,2025-04-10,First Class,CUST-9756,Curtis Stevens,Consumer,South,Technology,Phones,Customizable multimedia open architecture,3870.28,2,0.24,78.87
CA-202956,2023-12-10,2025-04-29,Second Class,CUST-5504,Michael Sweeney,Corporate,Central,Furniture,Tables,Extended exuding data-warehouse,627.72,5,0.43,-14.78
CA-811063,2025-04-08,2025-04-26,Second Class,CUST-7490,Thomas Carpenter,Home Office,West,Furniture,Chairs,Horizontal next generation instruction set,4174.52,2,0.19,648.61
CA-859314,2024-12-25,2025-04-27,First Class,CUST-2199,Alyssa Tyler,Corporate,West,Furniture,Chairs,Persistent actuating ability,447.93,2,0.24,802.92
CA-435699,2025-02-02,2025-04-17,Same Day,CUST-2974,David Peterson,Corporate,West,Technology,Accessories,Future-proofed contextually-based hub,3617.1,8,0.32,702.3
CA-882359,2024-04-12,2025-04-14,First Class,CUST-2097,Caleb Cline,Corporate,East,Technology,Copiers,Profound full-range knowledgebase,366.09,7,0.08,-40.72
CA-866167,2024-06-11,2025-05-02,First Class,CUST-9732,Wayne Bowen,Home Office,East,Office Supplies,Storage,De-engineered holistic emulation,663.91,8,0.24,553.38
CA-424086,2023-08-07,2025-05-08,Standard Class,CUST-1265,Scott Hopkins,Consumer,West,Office Supplies,Paper,Customer-focused motivating knowledgebase,1286.09,5,0.33,599.63
CA-841271,2024-12-21,2025-04-12,Second Class,CUST-1917,Travis Burns,Consumer,Central,Office Supplies,Labels,Multi-tiered holistic instruction set,2575.34,4,0.46,-71.78
CA-232183,2024-03-21,2025-05-06,Same Day,CUST-5815,Catherine Lewis,Consumer,Central,Technology,Phones,Diverse dynamic methodology,4061.48,1,0.45,64.59
CA-505088,2023-08-23,2025-05-02,Same Day,CUST-6642,Mr. Matthew Maynard Jr.,Consumer,Central,Furniture,Furnishings,Synergized optimizing budgetary management,4945.8,9,0.13,238.31
CA-660300,2024-09-29,2025-04-17,Standard Class,CUST-2011,Briana Bean,Home Office,Central,Technology,Copiers,Intuitive executive productivity,2159.81,8,0.19,626.14
CA-533867,2023-11-18,2025-04-22,Standard Class,CUST-1817,Dean Lewis,Consumer,South,Office Supplies,Binders,Profit-focused value-added complexity,1871.36,8,0.18,677.48
CA-418531,2023-09-09,2025-05-07,First Class,CUST-3156,Barbara Flores,Consumer,East,Office Supplies,Paper,Automated bifurcated service-desk,91.7,7,0.3,268.46
CA-235205,2024-08-20,2025-04-24,Second Class,CUST-4675,Ronald Scott,Corporate,Central,Furniture,Tables,Quality-focused 3rdgeneration matrices,4792.47,7,0.15,553.59
CA-828112,2024-01-11,2025-05-04,First Class,CUST-8014,Brandy Wright,Home Office,South,Furniture,Tables,Multi-layered modular artificial intelligence,3309.19,7,0.06,378.75
CA-399262,2024-01-26,2025-04-15,First Class,CUST-7506,Dr. Lance Reyes MD,Consumer,East,Technology,Phones,Face-to-face clear-thinking superstructure,3547.81,8,0.12,345.8
CA-513536,2024-07-14,2025-04-10,Second Class,CUST-1226,Jack Andrade,Corporate,West,Technology,Phones,Synergistic high-level firmware,3158.75,5,0.36,407.48
CA-223336,2023-09-02,2025-04-16,First Class,CUST-6566,Cynthia Price,Consumer,Central,Furniture,Tables,Managed disintermediate instruction set,943.91,5,0.31,23.47
CA-854691,2024-04-23,2025-05-06,Standard Class,CUST-1770,Charles King,Consumer,South,Office Supplies,Storage,Reactive fault-tolerant software,4725.68,5,0.37,104.98
CA-183590,2024-10-24,2025-04-23,Standard Class,CUST-1982,Janet Lewis,Home Office,Central,Technology,Machines,Distributed context-sensitive utilization,2897.02,10,0.25,996.72
CA-306185,2025-02-21,2025-05-08,Second Class,CUST-6377,Dawn Bond,Home Office,Central,Furniture,Chairs,Face-to-face asymmetric algorithm,730.24,5,0.06,739.25
CA-985714,2024-08-24,2025-04-19,Second Class,CUST-2405,Bradley Chavez,Corporate,Central,Office Supplies,Storage,Cross-platform encompassing neural-net,1843.26,5,0.11,263.75
CA-422665,2023-11-24,2025-04-17,Second Class,CUST-8062,Christopher Fritz,Corporate,East,Furniture,Chairs,Multi-layered disintermediate core,3447.01,7,0.14,-18.39
CA-645271,2024-11-16,2025-05-06,Second Class,CUST-8397,James Ballard,Home Office,West,Technology,Machines,Robust global approach,2702.22,1,0.49,244.23
CA-510050,2024-12-09,2025-04-16,Standard Class,CUST-3969,Jeffrey Coleman,Home Office,East,Furniture,Chairs,Quality-focused interactive orchestration,2143.28,9,0.27,844.44
CA-233748,2023-06-10,2025-04-10,First Class,CUST-5791,Kenneth Olson,Corporate,East,Furniture,Chairs,Digitized disintermediate info-mediaries,1171.43,3,0.22,895.95
CA-964406,2023-12-25,2025-04-13,Second Class,CUST-2274,Carl Green,Corporate,South,Technology,Copiers,Object-based zero tolerance interface,1442.32,5,0.06,543.57
CA-326949,2023-10-16,2025-05-02,Standard Class,CUST-2126,Crystal Brewer,Corporate,West,Office Supplies,Art,Horizontal stable protocol,2792.73,7,0.45,361.3
CA-548640,2023-04-30,2025-05-04,Second Class,CUST-2638,Christine Hubbard,Consumer,Central,Technology,Copiers,Seamless 6thgeneration data-warehouse,156.88,5,0.27,888.15
CA-299643,2023-07-03,2025-04-17,Second Class,CUST-5469,Daniel Peterson,Home Office,Central,Technology,Machines,Seamless web-enabled interface,267.79,9,0.3,685.64
CA-674548,2023-07-12,2025-05-08,Standard Class,CUST-9867,Kimberly Aguilar,Home Office,East,Technology,Machines,Business-focused logistical application,1729.5,7,0.11,-43.29
CA-915933,2024-05-18,2025-05-05,First Class,CUST-6212,Thomas Carr,Corporate,South,Technology,Computers,Networked context-sensitive framework,339.29,5,0.32,34.88
CA-979446,2023-12-16,2025-05-04,First Class,CUST-7729,Daniel Green,Corporate,East,Furniture,Tables,Multi-tiered bandwidth-monitored methodology,768.33,4,0.13,-82.47
CA-582916,2023-07-05,2025-04-09,Same Day,CUST-8759,Allison Hardy,Consumer,Central,Technology,Copiers,Progressive heuristic matrix,3960.69,7,0.38,80.93
CA-355710,2023-04-09,2025-04-27,Second Class,CUST-6126,Charles Reyes,Corporate,Central,Office Supplies,Binders,Synergistic uniform conglomeration,3384.14,2,0.46,135.03
CA-863454,2023-04-18,2025-04-13,Second Class,CUST-3071,Sarah Martin,Consumer,Central,Office Supplies,Labels,Proactive secondary access,2803.26,10,0.36,992.28
CA-644764,2024-07-24,2025-04-20,Second Class,CUST-2442,Angela Frey,Corporate,East,Office Supplies,Binders,Phased motivating throughput,3802.99,9,0.38,618.5
CA-977240,2025-02-02,2025-05-08,Second Class,CUST-3169,Amanda Kirk,Corporate,West,Furniture,Furnishings,Open-architected coherent application,2894.66,9,0.2,564.22
CA-701676,2023-07-11,2025-05-02,Same Day,CUST-1866,William Griffith,Corporate,Central,Technology,Copiers,Advanced contextually-based focus group,2187.46,6,0.22,241.45
CA-504391,2024-12-21,2025-04-11,Second Class,CUST-9140,Rhonda Collins,Consumer,Central,Furniture,Furnishings,Fully-configurable client-server concept,2453.94,2,0.42,47.57
CA-723721,2024-02-06,2025-05-08,Standard Class,CUST-4605,William Burns,Corporate,West,Technology,Copiers,Open-architected explicit data-warehouse,1766.24,10,0.05,68.52
CA-577661,2024-10-21,2025-04-24,Second Class,CUST-5406,Zoe Soto,Consumer,Central,Technology,Phones,Progressive foreground algorithm,933.47,3,0.14,432.89
CA-729267,2023-10-15,2025-04-12,First Class,CUST-4043,Victoria Patel,Corporate,Central,Office Supplies,Binders,Public-key client-server approach,4872.95,2,0.34,562.46
CA-393246,2023-08-04,2025-05-07,Same Day,CUST-9126,Christian Brewer,Home Office,West,Technology,Copiers,Integrated content-based adapter,3114.55,6,0.17,312.6
CA-555010,2023-08-20,2025-04-28,Second Class,CUST-1244,Darren Warren,Consumer,Central,Office Supplies,Storage,Diverse zero administration frame,3191.19,4,0.23,351.15
CA-529318,2023-06-20,2025-04-14,Same Day,CUST-8701,Dr. Ashley Torres,Home Office,Central,Office Supplies,Labels,Grass-roots analyzing artificial intelligence,142.64,7,0.12,40.25
CA-439054,2025-01-22,2025-04-17,Standard Class,CUST-5706,William Dalton,Consumer,South,Furniture,Tables,Monitored tertiary framework,3729.52,7,0.49,998.84
CA-939383,2023-05-01,2025-04-25,Second Class,CUST-5502,Brian Martin,Corporate,East,Furniture,Tables,Face-to-face high-level moderator,3292.64,8,0.38,49.19
CA-298463,2025-03-28,2025-04-10,First Class,CUST-8234,Katherine Sherman,Consumer,Central,Office Supplies,Paper,Diverse motivating infrastructure,603.35,9,0.27,399.17
CA-453968,2023-12-06,2025-04-21,Same Day,CUST-3874,Bruce Ruiz,Corporate,East,Technology,Copiers,Phased incremental product,726.42,2,0.34,313.6
CA-310797,2024-03-31,2025-04-19,Same Day,CUST-1993,Ivan Martinez,Corporate,Central,Technology,Copiers,Managed mission-critical throughput,1280.43,6,0.12,233.09
CA-628465,2024-05-15,2025-04-14,Standard Class,CUST-1434,Melissa Marquez,Consumer,South,Furniture,Tables,Polarized context-sensitive productivity,4405.93,8,0.41,471.23
CA-139588,2023-11-02,2025-04-26,Standard Class,CUST-4537,Pamela Roberts,Home Office,East,Furniture,Chairs,Diverse uniform software,1332.06,7,0.46,493.25
CA-908429,2023-07-11,2025-04-23,First Class,CUST-6004,Adrian Rodriguez,Corporate,West,Furniture,Furnishings,Adaptive scalable algorithm,3098.09,9,0.08,638.51
CA-376199,2024-10-09,2025-04-18,Second Class,CUST-8353,Lee Alexander,Home Office,South,Technology,Phones,Ergonomic user-facing focus group,4670.4,1,0.21,58.71
CA-669208,2024-09-03,2025-05-07,First Class,CUST-1619,Sarah Baker,Corporate,West,Technology,Copiers,Inverse fault-tolerant process improvement,3313.18,10,0.32,619.51
CA-990789,2024-10-29,2025-04-16,Standard Class,CUST-4939,James Johnson,Corporate,East,Furniture,Furnishings,Function-based value-added archive,2027.96,3,0.18,792.97
CA-524549,2024-07-25,2025-04-23,First Class,CUST-4746,Stephanie Oliver,Corporate,Central,Furniture,Tables,Multi-lateral tertiary process improvement,1596.46,5,0.01,365.31
CA-695986,2023-06-21,2025-04-17,Same Day,CUST-7478,Samantha Thompson,Home Office,East,Office Supplies,Paper,Configurable holistic orchestration,2906.38,10,0.32,858.78
CA-908779,2025-01-11,2025-04-29,Same Day,CUST-5130,Randall Wilson,Home Office,West,Office Supplies,Storage,Function-based client-driven knowledgebase,3575.66,9,0.39,372.28
CA-971925,2023-10-09,2025-04-20,Standard Class,CUST-2877,Scott Bray,Home Office,East,Technology,Copiers,Quality-focused encompassing projection,563.58,4,0.46,554.0
CA-943822,2024-10-05,2025-04-14,First Class,CUST-4640,Juan Foster,Home Office,East,Technology,Accessories,Horizontal high-level alliance,1673.62,10,0.04,636.29
CA-681765,2024-12-09,2025-05-06,First Class,CUST-5878,James Tyler,Corporate,East,Technology,Computers,Optimized interactive info-mediaries,4524.54,8,0.31,114.25
CA-394931,2024-01-05,2025-04-21,Same Day,CUST-4692,Jennifer Mitchell,Corporate,West,Technology,Phones,Reverse-engineered heuristic implementation,4095.27,6,0.05,781.85
CA-400835,2024-05-22,2025-04-29,Same Day,CUST-8346,Richard Griffin,Corporate,South,Office Supplies,Storage,Ameliorated cohesive focus group,3188.72,10,0.27,882.0
